A001n_PN1c_00001-5	reltype=ob	['９', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4']
A026n_PN3d_00002-5	reltype=after	['九', 'あっ']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '50']
A026n_PN3d_00002-5	reltype=before	['九', '突き止め']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '54']
A026n_PN3d_00002-5	reltype=overlap	['九', '確信']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '60']
A026n_PN3d_00002-5	reltype=overlap	['九', '表明']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '68']
A026n_PN3d_00002-6	reltype=overlap	['前日', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '13']
A026n_PN3d_00002-6	reltype=after	['前日', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '46']
A026n_PN3d_00002-6	reltype=after	['前日', '精査']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '59']
A026n_PN3d_00002-6	reltype=overlap	['前日', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '73']
A026n_PN3d_00002-6	reltype=before	['前日', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '81']
A026n_PN3d_00002-6	reltype=overlap	['前日', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '84']
A026n_PN3d_00002-6	reltype=overlap	['八', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '13']
A026n_PN3d_00002-6	reltype=after	['八', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '46']
A026n_PN3d_00002-6	reltype=after	['八', '精査']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '59']
A026n_PN3d_00002-6	reltype=before	['八', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '81']
A026n_PN3d_00002-6	reltype=overlap	['八', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '84']
A026n_PN3d_00002-6	reltype=overlap	['二', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['26', '46']
A026n_PN3d_00002-6	reltype=before	['二', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['26', '73']
A026n_PN3d_00002-6	reltype=before	['二', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['26', '81']
A026n_PN3d_00002-6	reltype=before	['二', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['26', '84']
A026n_PN3d_00002-6	reltype=before	['二', '言明']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['26', '90']
A026n_PN3d_00002-6	reltype=before	['四', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['13', '54']
A026n_PN3d_00002-6	reltype=before	['四', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['46', '54']
A026n_PN3d_00002-6	reltype=before	['四', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['54', '73']
A026n_PN3d_00002-6	reltype=before	['四', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['54', '81']
A026n_PN3d_00002-6	reltype=before	['四', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['54', '84']
A026n_PN3d_00002-6	reltype=before	['四', '言明']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['54', '90']
A026n_PN3d_00002-6	reltype=after	['今後', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['13', '75']
A026n_PN3d_00002-6	reltype=after	['今後', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['46', '75']
A026n_PN3d_00002-6	reltype=after	['今後', '精査']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['59', '75']
A026n_PN3d_00002-6	reltype=after	['今後', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['73', '75']
A026n_PN3d_00002-6	reltype=overlap	['今後', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['75', '81']
A026n_PN3d_00002-6	reltype=after	['今後', '言明']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['75', '90']
A026n_PN3d_00002-13	reltype=overlap	['同日', 'し']	[JSP]米上院軍事委員会のレビン議員（民主党）は同日、ＮＢＣテレビで、米国の威信にかかわる問題だとし「テロとの戦いで各国を率いていくには、米国が表明することは事実であるという信頼が不可欠だ」として、議会での徹底究明を訴えた。	['15', '29']
A026n_PN3d_00002-13	reltype=overlap	['同日', 'し']	[JSP]米上院軍事委員会のレビン議員（民主党）は同日、ＮＢＣテレビで、米国の威信にかかわる問題だとし「テロとの戦いで各国を率いていくには、米国が表明することは事実であるという信頼が不可欠だ」として、議会での徹底究明を訴えた。	['15', '29']
A026n_PN3d_00002-13	reltype=overlap	['同日', '訴え']	[JSP]米上院軍事委員会のレビン議員（民主党）は同日、ＮＢＣテレビで、米国の威信にかかわる問題だとし「テロとの戦いで各国を率いていくには、米国が表明することは事実であるという信頼が不可欠だ」として、議会での徹底究明を訴えた。	['15', '70']
A026n_PN3d_00002-14	reltype=overlap	['同日', '示す']	[JSP]民主党の大統領候補の一人、ゲッパート前下院院内総務は同日、大量破壊兵器開発の証拠発見はこれからだとの見解を示す一方、「ブッシュ大統領をはじめ、世界の指導者が偽情報を得ていたとしたら、驚くべきでっちあげだ」とも指摘した。	['16', '33']
A026n_PN3d_00002-14	reltype=after	['同日', '得']	[JSP]民主党の大統領候補の一人、ゲッパート前下院院内総務は同日、大量破壊兵器開発の証拠発見はこれからだとの見解を示す一方、「ブッシュ大統領をはじめ、世界の指導者が偽情報を得ていたとしたら、驚くべきでっちあげだ」とも指摘した。	['16', '50']
A026n_PN3d_00002-14	reltype=overlap	['同日', '指摘']	[JSP]民主党の大統領候補の一人、ゲッパート前下院院内総務は同日、大量破壊兵器開発の証拠発見はこれからだとの見解を示す一方、「ブッシュ大統領をはじめ、世界の指導者が偽情報を得ていたとしたら、驚くべきでっちあげだ」とも指摘した。	['16', '65']
A026n_PN3d_00002-15	reltype=after	['同日', '扱わ']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '31']
A026n_PN3d_00002-15	reltype=before	['同日', '調査']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '37']
A026n_PN3d_00002-15	reltype=overlap	['同日', 'し']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '45']
A026n_PN3d_00002-15	reltype=before	['同日', '政治']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '49']
A026n_PN3d_00002-15	reltype=overlap	['同日', '批判']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '64']
A026n_PN3d_00002-18	reltype=overlap	['九', '応じ']	[JSP]韓国の金泳三元大統領＝写真＝が九日、東京都内で産経新聞とのインタビューに応じた。	['12', '25']
A027n_PN3e_00002-3	reltype=overlap	['２', '消費']	[JSP]２００１年度に道内で消費されたブランデーの量。	['2', '10']
A027n_PN3e_00002-4	reltype=before	['前', '減っ']	札幌国税局によると、不況による接待需要の減少などから前年度比１１．８％も減った。	['17', '26']
A027n_PN3e_00002-13	reltype=overlap	['今春', '受け']	授業を受けたのは、今春高校を卒業した新入生二百二十八人。	['3', '8']
A027n_PN3e_00002-13	reltype=overlap	['今春', '卒業']	授業を受けたのは、今春高校を卒業した新入生二百二十八人。	['8', '11']
A027n_PN3e_00002-21	reltype=after	['十', '開い']	[JSP]第五回小樽雪あかりの路を開いた実行委は十日、イベントに合わせて募集した「愛のフォトコンテスト」の入賞作品八点を発表した。	['10', '15']
A027n_PN3e_00002-21	reltype=after	['十', '合わせ']	[JSP]第五回小樽雪あかりの路を開いた実行委は十日、イベントに合わせて募集した「愛のフォトコンテスト」の入賞作品八点を発表した。	['15', '20']
A027n_PN3e_00002-21	reltype=after	['十', '募集']	[JSP]第五回小樽雪あかりの路を開いた実行委は十日、イベントに合わせて募集した「愛のフォトコンテスト」の入賞作品八点を発表した。	['15', '22']
A027n_PN3e_00002-21	reltype=overlap	['十', '発表']	[JSP]第五回小樽雪あかりの路を開いた実行委は十日、イベントに合わせて募集した「愛のフォトコンテスト」の入賞作品八点を発表した。	['15', '37']
A027n_PN3e_00002-22	reltype=overlap	['四', '選ば']	最高賞の「愛のフォト賞」には札幌市手稲区の原田敬裕さん（四七）の「幸せの灯火」＝写真＝が選ばれた。	['21', '34']
A028n_PN4c_00002-4	reltype=overlap	['二', '据え置く']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['2', '27']
A028n_PN4c_00002-4	reltype=overlap	['今年', '据え置く']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['18', '27']
A028n_PN4c_00002-4	reltype=before	['今年', '縮小']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['18', '39']
A028n_PN4c_00002-4	reltype=overlap	['今年', '打ち出さ']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['18', '43']
A028n_PN4c_00002-4	reltype=before	['昨年', '据え置く']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['21', '27']
A028n_PN4c_00002-4	reltype=before	['昨年', '縮小']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['21', '39']
A028n_PN4c_00002-4	reltype=before	['昨年', '打ち出さ']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['21', '43']
A028n_PN4c_00002-4	reltype=after	['来年', '据え置く']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['27', '30']
A028n_PN4c_00002-4	reltype=overlap	['来年', '縮小']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['30', '39']
A028n_PN4c_00002-4	reltype=after	['来年', '打ち出さ']	[JSP]二〇〇四年度の与党税制改正大綱で、住宅ローン減税を今年入居なら昨年入居と同規模に据え置く一方、来年以降の入居分から段階的に縮小することが打ち出された。	['30', '43']
A028n_PN4c_00002-7	reltype=vague	['年末', '入居']	[JSP]与党の大綱によると、今年末までに入居した人には五千万円を上限とする年末ローン残高の１％を十年間にわたって所得税から控除する。	['13', '26']
A028n_PN4c_00002-7	reltype=after	['十', '入居']	[JSP]与党の大綱によると、今年末までに入居した人には五千万円を上限とする年末ローン残高の１％を十年間にわたって所得税から控除する。	['13', '33']
A028n_PN4c_00002-8	reltype=vague	['十', '抱え']	最大では五千万円以上のローンを抱えて続けている場合、減税額は毎年五十万円、十年間で五百万円になる計算だ。	['11', '26']
A028n_PN4c_00002-8	reltype=vague	['十', '続け']	最大では五千万円以上のローンを抱えて続けている場合、減税額は毎年五十万円、十年間で五百万円になる計算だ。	['13', '26']
A028n_PN4c_00002-9	reltype=overlap	['来年', '引き下げ']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['4', '23']
A028n_PN4c_00002-9	reltype=before	['来年', '下がる']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['4', '58']
A028n_PN4c_00002-9	reltype=after	['八', '引き下げ']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['23', '38']
A028n_PN4c_00002-9	reltype=before	['八', '下がる']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['38', '58']
A028n_PN4c_00002-9	reltype=after	['九', '引き下げ']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['23', '44']
A028n_PN4c_00002-9	reltype=after	['九', '適用']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['33', '44']
A028n_PN4c_00002-9	reltype=after	['十', '引き下げ']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['23', '46']
A028n_PN4c_00002-9	reltype=after	['十', '適用']	[JSP]しかし、来年入居の場合は、減税対象となるローン残高の上限が四千万円に引き下げられるうえ、１％の控除率が適用されるのは八年目までで、九、十年目の控除率は０・５％に下がる。	['33', '46']
A028n_PN4c_00002-10	reltype=overlap	['八', '減る']	その結果、減税の最大額は八年目までが各四十万円、九、十年目が各二十万円で、十年間合計三百六十万円に減る。	['9', '39']
A028n_PN4c_00002-10	reltype=overlap	['九', '減る']	その結果、減税の最大額は八年目までが各四十万円、九、十年目が各二十万円で、十年間合計三百六十万円に減る。	['19', '39']
A028n_PN4c_00002-11	reltype=overlap	['二', '減り']	[JSP]二〇〇六年以降の入居では、ローン残高の上限の引き下げなどで減税額がさらに減り、二〇〇八年入居では十年間の減税総額が最高百六十万円になる。	['2', '25']
A028n_PN4c_00002-11	reltype=overlap	['十', 'なる']	[JSP]二〇〇六年以降の入居では、ローン残高の上限の引き下げなどで減税額がさらに減り、二〇〇八年入居では十年間の減税総額が最高百六十万円になる。	['35', '47']
A028n_PN4c_00002-14	reltype=vague	['三十', '比較']	年利３％で借入れ、三十年の元利均等返済方式で返済する場合で、今年入居と来年入居を中心に比較してみよう。	['7', '28']
A028n_PN4c_00002-14	reltype=overlap	['今年', '借入れ']	年利３％で借入れ、三十年の元利均等返済方式で返済する場合で、今年入居と来年入居を中心に比較してみよう。	['5', '20']
A028n_PN4c_00002-14	reltype=ob	['今年', '返済']	年利３％で借入れ、三十年の元利均等返済方式で返済する場合で、今年入居と来年入居を中心に比較してみよう。	['12', '15']
A028n_PN4c_00002-16	reltype=before	['来年', 'なる']	この場合、入居が来年なら、十年間で減税額が百四十万円少なくなる。	['6', '20']
A028n_PN4c_00002-16	reltype=overlap	['十', 'なる']	この場合、入居が来年なら、十年間で減税額が百四十万円少なくなる。	['9', '20']
A028n_PN4c_00002-17	reltype=vague	['今年', 'なる']	[JSP]しかし、今年入居と来年入居の差は、借入額が少なくなるにつれて小さくなる。	['4', '17']
A028n_PN4c_00002-17	reltype=vague	['来年', 'なる']	[JSP]しかし、今年入居と来年入居の差は、借入額が少なくなるにつれて小さくなる。	['7', '17']
A028n_PN4c_00002-18	reltype=before	['一', 'なる']	一年目の年末のローン残高が四千万円以下なら、来年入居でも減税額は八年目まで今年入居と同じで、九年目と十年目だけが半分になる。	['1', '44']
A028n_PN4c_00002-18	reltype=before	['年末', 'なる']	一年目の年末のローン残高が四千万円以下なら、来年入居でも減税額は八年目まで今年入居と同じで、九年目と十年目だけが半分になる。	['5', '44']
A028n_PN4c_00002-18	reltype=before	['来年', 'なる']	一年目の年末のローン残高が四千万円以下なら、来年入居でも減税額は八年目まで今年入居と同じで、九年目と十年目だけが半分になる。	['16', '44']
A028n_PN4c_00002-18	reltype=before	['八', 'なる']	一年目の年末のローン残高が四千万円以下なら、来年入居でも減税額は八年目まで今年入居と同じで、九年目と十年目だけが半分になる。	['23', '44']
A028n_PN4c_00002-18	reltype=before	['今年', 'なる']	一年目の年末のローン残高が四千万円以下なら、来年入居でも減税額は八年目まで今年入居と同じで、九年目と十年目だけが半分になる。	['27', '44']
A028n_PN4c_00002-18	reltype=overlap	['九', 'なる']	一年目の年末のローン残高が四千万円以下なら、来年入居でも減税額は八年目まで今年入居と同じで、九年目と十年目だけが半分になる。	['33', '44']
A028n_PN4c_00002-21	reltype=after	['年末', '借り入れ']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['2', '7']
A028n_PN4c_00002-21	reltype=after	['九', '借り入れ']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['7', '16']
A028n_PN4c_00002-21	reltype=after	['九', '違う']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['13', '16']
A028n_PN4c_00002-21	reltype=after	['十', '借り入れ']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['7', '26']
A028n_PN4c_00002-21	reltype=after	['十', '違う']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['13', '26']
A028n_PN4c_00002-21	reltype=overlap	['十', 'なる']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['26', '46']
A028n_PN4c_00002-21	reltype=after	['九', '借り入れ']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['7', '16']
A028n_PN4c_00002-21	reltype=after	['九', '違う']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['13', '16']
A028n_PN4c_00002-21	reltype=after	['十', '借り入れ']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['7', '26']
A028n_PN4c_00002-21	reltype=after	['十', '違う']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['13', '26']
A028n_PN4c_00002-21	reltype=overlap	['十', 'なる']	[JSP]年末のローン残高は借り入れた月によって違うが、九年目が二千四百万円前後、十年目が二千三百万円前後なので、減税額の違いは九、十年目とも十二万円程度、二年で二十四万円程度になる。	['26', '46']
